STT,CID,SMILES,IC50 (uM)
1,2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,23
2,3198,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,1.1
3,3198,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,8.1
4,3675,C1=CC=C(C=C1)CCNN,14
5,3760,C1=CC(=C(C(=C1)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,23
6,3823,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,25
7,3823,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,32
8,3885,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,0.44
9,3885,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,0.44
10,3885,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,1
11,3885,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,1
12,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,0.37
13,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,1
14,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,1.1
15,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,1.1
16,4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,1.4
17,4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,2.9
18,4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,3.8
19,4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,6.7
20,5318,C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,6.4
21,7104,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,1000
22,7220,C1=CC2=NNN=C2C=C1,2570
23,7222,C1=CC=C2C(=C1)N=CS2,652
24,7516,C1=CC=C(C=C1)NN,0.23
25,7516,C1=CC=C(C=C1)NN,0.25
26,7516,C1=CC=C(C=C1)NN,1.3
27,7518,C1=CC=C(C=C1)NO,9.2
28,7812,C1=CC(=CC=C1N)Cl,1319
29,7812,C1=CC(=CC=C1N)Cl,1787
30,7815,C1=CC(=CC=C1S)Cl,1.9
31,7815,C1=CC(=CC=C1S)Cl,3.5
32,7815,C1=CC(=CC=C1S)Cl,7.9
33,7815,C1=CC(=CC=C1S)Cl,9.2
34,7815,C1=CC(=CC=C1S)Cl,20
35,8447,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,500
36,8530,C1=CC=C2C(=O)C=CC(=O)C2=C1,0.46
37,8530,C1=CC=C2C(=O)C=CC(=O)C2=C1,0.99
38,8530,C1=CC=C2C(=O)C=CC(=O)C2=C1,0.99
39,8530,C1=CC=C2C(=O)C=CC(=O)C2=C1,0.99
40,8530,C1=CC=C2C(=O)C=CC(=O)C2=C1,10
41,10313,C1=CC=C(C=C1)C(=O)NO,16
42,11157,C1=CC=C(C=C1)CNN,71
43,11988,C1=CC=C2C(=C1)N=C(S2)NN,8
44,11988,C1=CC=C2C(=C1)N=C(S2)NN,62.3
45,13886,C1=CC=C(C=C1)C2=CN=CC=C2,161
46,13886,C1=CC=C(C=C1)C2=CN=CC=C2,161
47,18786,C1=CC=C(C=C1)C2=NC=NN2,580
48,21095,C1=CC=C2C(=C1)C(C(=O)N2)CCN,3.97
49,22244,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)N,15
50,22641,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CCOC(=O)C,31.3
51,22641,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CCOC(=O)C,1000
52,22704,C1=CC2=C(C=C1[N+](=O)[O-])SC(=N2)N,500
53,23116,C1=CC(=CC=C1NCSC2=CC=C(C=C2)Cl)[N+](=O)[O-],0.1
54,23116,C1=CC(=CC=C1NCSC2=CC=C(C=C2)Cl)[N+](=O)[O-],0.8
55,32238,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)O,130
56,37175,C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl,23
57,40302,C1=CC=C(C=C1)C2=CSC(=N2)N,1000
58,53277,CC1C(OC2=C(C1=O)C(=C3C(=C2)C(=C(C=C3O)O)C4=C(C=C(C5=C(C6=C(C=C54)OC(C(C6=O)C)C)O)O)O)O)C,44.09
59,64961,C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,90
60,65863,C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,3.8
61,65863,C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,8.4
62,69590,C1=CC=C(C=C1)C2=CN=CN2,20
63,69590,C1=CC=C(C=C1)C2=CN=CN2,21
64,69590,C1=CC=C(C=C1)C2=CN=CN2,27
65,69590,C1=CC=C(C=C1)C2=CN=CN2,30
66,69590,C1=CC=C(C=C1)C2=CN=CN2,31
67,69590,C1=CC=C(C=C1)C2=CN=CN2,38
68,69590,C1=CC=C(C=C1)C2=CN=CN2,39
69,69590,C1=CC=C(C=C1)C2=CN=CN2,42
70,69590,C1=CC=C(C=C1)C2=CN=CN2,48
71,69590,C1=CC=C(C=C1)C2=CN=CN2,48
72,69590,C1=CC=C(C=C1)C2=CN=CN2,48
73,69590,C1=CC=C(C=C1)C2=CN=CN2,48
74,69590,C1=CC=C(C=C1)C2=CN=CN2,48
75,69590,C1=CC=C(C=C1)C2=CN=CN2,48
76,69590,C1=CC=C(C=C1)C2=CN=CN2,48
77,69590,C1=CC=C(C=C1)C2=CN=CN2,57
78,69590,C1=CC=C(C=C1)C2=CN=CN2,70.3
79,69590,C1=CC=C(C=C1)C2=CN=CN2,140
80,69590,C1=CC=C(C=C1)C2=CN=CN2,143
81,69590,C1=CC=C(C=C1)C2=CN=CN2,428
82,73468,C[C@@H]1[C@@H]([C@@]([C@H]([C@@H](O1)C2=C3C(=C(C=C2)O)C(=CC4=C3OC(=O)C5=C4C(=CC(=C5)C=C)OC)OC)O)(C)O)O,22.6
83,73468,C[C@@H]1[C@@H]([C@@]([C@H]([C@@H](O1)C2=C3C(=C(C=C2)O)C(=CC4=C3OC(=O)C5=C4C(=CC(=C5)C=C)OC)OC)O)(C)O)O,230
84,73549,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,0.0537
85,73549,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,5.5
86,73549,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,7.15
87,73549,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,7.15
88,73549,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,498.7
89,73549,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,53700
90,74787,C1=CC=C(C=C1)C2=[N+](C3=CC=CC=C3C2=O)[O-],0.87
91,74787,C1=CC=C(C=C1)C2=[N+](C3=CC=CC=C3C2=O)[O-],2.3
92,74787,C1=CC=C(C=C1)C2=[N+](C3=CC=CC=C3C2=O)[O-],3
93,74967,C1=CC(=CC=C1CON)[N+](=O)[O-].Cl,2.7
94,75253,C1=CC(=C(C=C1O)O)N=NC2=NC=CS2,45.04
95,81062,C1=CC2=NSN=C2C(=C1)[N+](=O)[O-],320
96,81062,C1=CC2=NSN=C2C(=C1)[N+](=O)[O-],614
97,98112,CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N,14.69
98,98112,CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N,267
99,98112,CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N,328
100,98112,CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N,380
101,99128,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C2=O,114
102,99349,C1=CC(=CC(=C1)Cl)N2C=CN=C2,41
103,102313,C1=CC=C(C=C1)CON,0.81
104,102313,C1=CC=C(C=C1)CON,10
105,120425,COC1=CC=C(C=C1)CON.Cl,24
106,122724,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O,8.41
107,128994,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3C=CCC4(C)C,4.68
108,128994,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3C=CCC4(C)C,10
109,137153,C1=CC=C(C=C1)C2=NNN=C2,8.9
110,137153,C1=CC=C(C=C1)C2=NNN=C2,60
111,137153,C1=CC=C(C=C1)C2=NNN=C2,70
112,137153,C1=CC=C(C=C1)C2=NNN=C2,83
113,137153,C1=CC=C(C=C1)C2=NNN=C2,143
114,137153,C1=CC=C(C=C1)C2=NNN=C2,143
115,137153,C1=CC=C(C=C1)C2=NNN=C2,251.2
116,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,10
117,164676,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,10
118,203812,C1=CC(=CC(=C1)C(F)(F)F)CON.Cl,0.41
119,207299,C1=CC(=CC(=C1)Cl)CON.Cl,0.077
120,207299,C1=CC(=CC(=C1)Cl)CON.Cl,0.114
121,207299,C1=CC(=CC(=C1)Cl)CON.Cl,0.134
122,207299,C1=CC(=CC(=C1)Cl)CON.Cl,0.3
123,217573,C1=CC(=CC=C1CON)Cl.Cl,1.3
124,224502,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C2=N,21
125,224502,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C2=N,24
126,224922,C1=CC2=C(C=CC=C2[As](=O)(O)O)C(=C1)N,45.73
127,230916,C1=CC=C(C=C1)N2C3=C(C(=O)C4=CC=CC=C4C3=O)N=N2,0.1
128,230916,C1=CC=C(C=C1)N2C3=C(C(=O)C4=CC=CC=C4C3=O)N=N2,0.1
129,233294,CC(=O)NC1=C(C2=CC=CC=C2C3=CC=CC=C31)OC,35.6
