STT,CID,SMILES,IC50 (uM),"1,3-diphenylurea",1H-indazole,Beta-carboline,Dihydropyridine,Furan,"Imidazo(2,1-b)thiazole",Imidazole,Indole,Isoquinoline,"Naphtho(2,3-d)imidazole-4,9-dione","Naphtho(2,3-d)thiazole-4,9-dione",Naphthoquinone,Quinoline,Quinone,Quinoxaline,Thiohydantoin,Thiophene,Triazole,Tryptophan,"1H-indole-4,7-dione","5H-imidazo(5,1-a)isoindole",Brassinin,Tryptanthrin,"3-(1H-indol-3-yl)pyrrolidine-2,5-dione",Other
1,2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,23,,,,,,,x,,,,,,,,,,,,,,,,,,
2,3198,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,"4,6",,,,,,,x,,,,,,,,,,,,,,,,,,
3,3675,C1=CC=C(C=C1)CCNN,14,,,,,,,,,,,,,,,,,,,,,,,,,x
4,3760,C1=CC(=C(C(=C1)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,23,,,,,,,x,,,,,,,,,,,,,,,,,,
5,3823,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,32,,,,,,,x,,,,,,,,,,,,,,,,,,
6,3885,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,x
7,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,"0,8925",,,,,,,,,,,,x,,,,,,,,,,,,,
8,4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,"3,666666667",,,,,,,x,,,,,,,,,,,,,,,,,,
9,5318,C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,"6,4",,,,,,,x,,,,,,,,,,,,,,,,,,
10,7104,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,1000,,,,,,,,,,,,,,,,,,,,,,,,,x
11,7220,C1=CC2=NNN=C2C=C1,2570,,,,,,,,,,,,,,,,,,x,,,,,,,
12,7222,C1=CC=C2C(=C1)N=CS2,652,,,,,,,,,,,,,,,,,,,,,,,,,x
13,7516,C1=CC=C(C=C1)NN,"0,5933333333",,,,,,,,,,,,,,,,,,,,,,,,,x
14,7518,C1=CC=C(C=C1)NO,"9,2",,,,,,,,,,,,,,,,,,,,,,,,,x
15,7812,C1=CC(=CC=C1N)Cl,1553,,,,,,,,,,,,,,,,,,,,,,,,,x
16,7815,C1=CC(=CC=C1S)Cl,"5,625",,,,,,,,,,,,,,,,,,,,,,,,,x
17,8447,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,500,,,,,,,,,,,,,,,,,,,,,,,,,x
18,8530,C1=CC=C2C(=O)C=CC(=O)C2=C1,"0,8575",,,,,,,,,,,,x,,,,,,,,,,,,,
19,10313,C1=CC=C(C=C1)C(=O)NO,16,,,,,,,,,,,,,,,,,,,,,,,,,x
20,11157,C1=CC=C(C=C1)CNN,71,,,,,,,,,,,,,,,,,,,,,,,,,x
21,11988,C1=CC=C2C(=C1)N=C(S2)NN,"35,15",,,,,,,,,,,,,,,,,,,,,,,,,x
22,13886,C1=CC=C(C=C1)C2=CN=CC=C2,161,,,,,,,,,,,,,,,,,,,,,,,,,x
23,18786,C1=CC=C(C=C1)C2=NC=NN2,580,,,,,,,,,,,,,,,,,,,,,,,,,x
24,21095,C1=CC=C2C(=C1)C(C(=O)N2)CCN,"3,97",,,,,,,,,,,,,,,,,,,,,,,,,x
25,22244,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)N,15,,,,,,,,,,,,,,,,,,,,,,,,,x
26,22641,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CCOC(=O)C,1000,,,,,,,,,,,,,,,,,,,,,,,,,x
27,22704,C1=CC2=C(C=C1[N+](=O)[O-])SC(=N2)N,500,,,,,,,,,,,,,,,,,,,,,,,,,x
28,23116,C1=CC(=CC=C1NCSC2=CC=C(C=C2)Cl)[N+](=O)[O-],"0,45",,,,,,,,,,,,,,,,,,,,,,,,,x
29,32238,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)O,130,,,,,,,x,,,,,,,,,,,,,,,,,,
30,37175,C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl,23,,,,,,,x,,,,,,,,,,,,,,,,,,
31,40302,C1=CC=C(C=C1)C2=CSC(=N2)N,1000,,,,,,,,,,,,,,,,,,,,,,,,,x
32,53277,CC1C(OC2=C(C1=O)C(=C3C(=C2)C(=C(C=C3O)O)C4=C(C=C(C5=C(C6=C(C=C54)OC(C(C6=O)C)C)O)O)O)O)C,"44,09",,,,,,,,,,,,,,,,,,,,,,,,,x
33,64961,C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,90,,,x,,,,,x,,,,,,,,,,,,,,x,,,
34,65863,C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,"6,1",,,,,,,x,,,,,,,,,,x,,,,,,,,
35,69590,C1=CC=C(C=C1)C2=CN=CN2,"52,90555556",,,,,,,x,,,,,,,,,,,,,,,,,,
36,73468,C[C@@H]1[C@@H]([C@@]([C@H]([C@@H](O1)C2=C3C(=C(C=C2)O)C(=CC4=C3OC(=O)C5=C4C(=CC(=C5)C=C)OC)OC)O)(C)O)O,230,,,,,,,,,,,,,,,,,,,,,,,,,x
37,73549,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,"6,6",,,,,,,,,,,,,,,,,,,,,,,x,,
