STT,CID,SMILES,IC50 (uM),Substructure,"1,3-diphenylurea",1H-indazole,Beta-carboline,Dihydropyridine,Furan,"Imidazo(2,1-b)thiazole",Imidazole,Indole,Isoquinoline,"Naphtho(2,3-d)imidazole-4,9-dione","Naphtho(2,3-d)thiazole-4,9-dione",Naphthoquinone,Quinoline,Quinone,Quinoxaline,Thiohydantoin,Thiophene,Triazole,Tryptophan,"1H-indole-4,7-dione","5H-imidazo(5,1-a)isoindole",Brassinin,Tryptanthrin,"3-(1H-indol-3-yl)pyrrolidine-2,5-dione",Other
1,2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,23,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2,3198,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,4.6,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
3,3675,C1=CC=C(C=C1)CCNN,14,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
4,3760,C1=CC(=C(C(=C1)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,23,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
5,3823,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,32,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
6,3885,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,0.72,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
7,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,0.8925,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
8,4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,3.666666667,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
9,5318,C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,6.4,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
10,7104,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,1000,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
11,7220,C1=CC2=NNN=C2C=C1,2570,Triazole,,,,,,,,,,,,,,,,,,x,,,,,,,
12,7222,C1=CC=C2C(=C1)N=CS2,652,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
13,7516,C1=CC=C(C=C1)NN,0.593333333,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
14,7518,C1=CC=C(C=C1)NO,9.2,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
15,7812,C1=CC(=CC=C1N)Cl,1553,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
16,7815,C1=CC(=CC=C1S)Cl,5.625,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
