Code,Average IC50,Bioactivity,SMILES,INCHI-KEY
11305,236.6,active,ONC(CCCCCCC(Nc1ccccc1)=O)=O,
236556,1556,inactive,[O-][N+](c(cc1)ccc1C(NCCCCCC(NO)=O)=O)=O,GDAAHZPABCCCFD-UHFFFAOYSA-N
1352187,12.6,active,[O-][N+](c(cc1)ccc1S([n](cc1)c2c1cc(/C=C/C(NO)=O)cc2)(=O)=O)=O,KAFPWADPNJMVFZ-KRXBUXKQSA-N
418270,1600,inactive,[O-][N+](c(cc1)ccc1S(N(CC1)CCN1c1ncc(/C=C/C(NO)=O)[s]1)(=O)=O)=O,DVMYLPRGYNBANT-ZZXKWVIFSA-N
418245,400,inactive,[O-][N+](c(cc1)ccc1S(N(CC1)CCN1c1ncc(C(NO)=O)[s]1)(=O)=O)=O,SINFIJWJVFHMHP-UHFFFAOYSA-N
2163995,40,active,[O-][N+](c(cccc1)c1-c1c[s]c(NC(CCCCCCC(NO)=O)=O)n1)=O,XFQFFIAAIJXBSS-UHFFFAOYSA-N
415873,230,active,[O-][N+](c1ccc(CN(CCC=C2CCC(NO)=O)C2=O)cc1)=O,JNDXSYFTMLIPIN-UHFFFAOYSA-N
382037,22,active,[O-][N+](c1cccc(-c2c[s]c(NC(CCCCCCC(NO)=O)=O)n2)c1)=O,LJFNWCGSOPRFNA-UHFFFAOYSA-N
143598,17000,inactive,[O-]C(C(F)(F)F)=O.[O-]C(C(F)(F)F)=O.C(CCCCCC[n+]1cc(CCCCCC/C=C/CCCCCC2)ccc1)CCCCCc1ccc[n+]2c1,LUAUOMZCZVKFMM-SEPHDYHBSA-L
142323,80000,inactive,[O-]C(C(F)(F)F)=O.[O-]C(C(F)(F)F)=O.C(CCCCCC[n+]1cccc(CCCCCC/C=C/CCC2)c1)CCCCCc1ccc[n+]2c1,ULMZQNXHOOAEFK-FCVAESPPSA-L
142324,61000,inactive,[O-]C(C(F)(F)F)=O.[O-]C(C(F)(F)F)=O.C(CCCCCC[n+]1cccc(CCCCCC/C=C/CCCC2)c1)CCCCCc1ccc[n+]2c1,OLKMIRGPRHUVRS-BABLKGGBSA-L
143597,30000,inactive,[O-]C(C(F)(F)F)=O.[O-]C(C(F)(F)F)=O.C(CCCCCCc1ccc[n+](CCCCCC/C=C/CCCCCC2)c1)CCCCCC[n+]1cccc2c1,CPTASHNRUVURMP-SEPHDYHBSA-L
