CID,SMILES
5323714,C1COC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-]
3435,C1COC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-]
6234,C1[C@H](C(=O)NO1)N
5447130,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N
4266,C1=C(ONC1=O)CN
6842999,CC1CS(=O)(=O)CCN1/N=C/C2=CC=C(O2)[N+](=O)[O-]
5353636,C1COC(=O)N1/N=C\C2=CC=C(O2)[N+](=O)[O-]
1990,CC(=O)NO
5311,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
6604200,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-]
2973,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
5353830,C1C(=O)NC(=O)N1/N=C\C2=CC=C(O2)[N+](=O)[O-]
2466,CCCCOC1=CC=C(C=C1)CC(=O)NO
2749,CC1=CC(=O)N(C(=C1)C2CCCCC2)O
66644,C1=CC=C(C(=C1)C(=O)NO)O
54778,CC1(CON(C1=O)CC2=CC=CC=C2Cl)C
62881,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O.CS(=O)(=O)O
24781,CC1=CC(=O)NO1
9553856,C1COCCN1CC2CN(C(=O)O2)/N=C/C3=CC=C(O3)[N+](=O)[O-]
4509,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-]
444732,C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C
19390,C1=COC(=C1)C(=CC2=CC=C(O2)[N+](=O)[O-])C(=O)N
443600,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1CO
5280707,C1=COC(=C1)/C(=C/C2=CC=C(O2)[N+](=O)[O-])/C(=O)N
688571,CC(=O)N(CCC[C@H]1C(=O)N[C@H](C(=O)N1)CCCN(C(=O)C)O)O
5896,CC(=O)N(C1=CC2=C(C=C1)C3=CC=CC=C3C2)O
6918638,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO
6918837,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO
