CID,SMILES
33508570,O=C1CCON1
29918552,CCC(=O)NO
538665,NCC(=O)NO
516063,CON(C)C(C)=O
480512,ON1C(=O)CCC1=O
480512,ON1C(=O)CCC1=O
42774990,CC1(C)CONC1=O
4864824,CC(C)(C)C(=O)NO
32281505,CCC(=O)N(C)OC
40180491,CCC(N)C(=O)NO
181513279,COCONC(C)=O
24632086,CON(C)C(=O)C1CC1
24632086,CON(C)C(=O)C1CC1
32281577,CON(C)C(=O)C(C)C
32281597,CCCC(=O)N(C)OC
4917100,CC(C)C(N)C(=O)NO
32281603,COCC(=O)N(C)OC
181513282,CCC(=O)NOCOC
37226246,ONC(=O)c1ccncc1
5760013,CON(C)C(=O)C(F)F
317433417,CN1OC2(CNC2)CC1=O
32281579,CON(C)C(=O)C1CCC1
181002799,CON(C)C(=O)C=C(C)C
27499693,CON1C(=O)NC(=O)C1=O
27503249,ONC(=O)c1csnn1
181513300,COCONC(=O)C1CC1
4346455,CCCCC(=O)N(C)OC
32281575,CON(C)C(=O)CC(C)C
32281605,CON(C)C(=O)C(C)(C)C
96387163,CNC(=O)CONC(C)=O
181513285,CCCC(=O)NOCOC
181513291,COCONC(=O)C(C)C
181513498,COCONC(=O)COC
1012611,CC(C)(CCl)C(=O)NO
4850697,Nc1ccccc1C(=O)NO
594410,ONC(=O)c1ccccc1O
594410,ONC(=O)c1ccccc1O
29549216,ONC(=O)c1ccncc1O
37353901,CON(C)C(=O)c1ccc[nH]1
28204512,CON(C)C(=O)c1ccco1
2895430,ONC(=O)C12CCC(CC1)C2
526483,CON(C)C(=O)C(F)(F)F
6193372,CC(=O)ON1C(=O)CCC1=O
32281555,CON(C)C(=O)C1CCCO1
181513603,COCONC(=O)C1CCC1
181513657,COCONC(=O)C=C(C)C
32281647,CCC(CC)C(=O)N(C)OC
181513745,CCC(=O)NOCC(=O)NC
36759735,CCOC(=O)C(=O)N(C)OC
50272109,CON(C)C(=O)CC(=O)OC
181513288,CCCCC(=O)NOCOC
181513294,COCONC(=O)C(C)(C)C
181513303,COCONC(=O)CC(C)C
521597,ON1C(=O)c2ccccc2C1=O
521597,ON1C(=O)c2ccccc2C1=O
521597,ON1C(=O)c2ccccc2C1=O
4887751,ON1C(=O)COc2ccccc12
499992,CON(C)C(=O)c1ccccc1
499992,CON(C)C(=O)c1ccccc1
37351861,CONC(=O)c1ccc(C)cc1
39737608,CON(C)C(=O)CCCCl
917790,NC(C(=O)NO)c1ccccc1
4344102,CON(C)C(=O)c1ccncc1
32281599,CON(C)C(=O)c1cccnc1
32281599,CON(C)C(=O)c1cccnc1
534658,C=CC(=O)ON1C(=O)CCC1=O
317432649,CN1OC2(CC1=O)CCNCC2
181513312,COCONC(=O)c1ccco1
181521120,CON(C)C(=O)Cc1nnn[nH]1
4343716,CON(C)C(=O)c1cccs1
4343716,CON(C)C(=O)c1cccs1
32281611,CON(C)C(=O)C1CCCCC1
44829271,CONC(=O)C1CN(C1)C(C)=O
